strain	SRR11059940|China:Wuhan	SRR11059942|China:Wuhan	SRR11059944|China:Wuhan	SRR11059945|China:Wuhan	SRR11059946|China:Wuhan	SRR11059947|China:Wuhan	SRR11092062|China: Wuhan	SRR11177792|Nepal: Kathmandu	SRR11241254|USA: Seattle\, WA	SRR11241255|USA: Seattle\, WA	SRR11247076|USA: WA	SRR11247077|USA: WA	SRR11247078|USA: WA	SRR11278091|USA:WA	SRR11278164|USA:WA	SRR11278166|USA:WA	SRR11278167|USA:WA	SRR11397717|Australia: Melbourne\, Victoria	SRR11397719|Australia: Melbourne\, Victoria	SRR11397720|Australia: Melbourne\, Victoria	SRR11397728|Australia: Melbourne\, Victoria	SRR11410528|USA	SRR11410536|USA	SRR11426414|Germany: Starnberg	SRR11426415|Germany: Starnberg	SRR11426417|Germany: Starnberg	SRR11426418|Germany: Starnberg	SRR11454607|China: Hubei	SRR11454608|China: Hubei	SRR11454609|China: Hubei	SRR11454613|China: Hubei	SRR11454614|China: Hubei	SRR11454615|China: Hubei	SRR11476445|USA: Washington	SRR11479027|USA	SRR11479029|USA	SRR11479031|USA	SRR11479037|USA	SRR11479040|USA	SRR11479044|USA	SRR11479046|USA	SRR11491744|USA	SRR11491746|USA	SRR11491747|USA	SRR11491748|USA	SRR11491753|USA	SRR11491756|USA	SRR11491757|USA	SRR11491758|USA	SRR11491759|USA	SRR11491762|USA	SRR11491765|USA	SRR11491766|USA	SRR11491767|USA	SRR11491769|USA	SRR11491771|USA	SRR11491772|USA	SRR11494453|Australia: Victoria	SRR11494456|Australia: Victoria	SRR11494460|Australia: Victoria	SRR11494461|Australia: Victoria	SRR11494466|Australia: Victoria	SRR11494467|Australia: Victoria	SRR11494474|Australia: Victoria	SRR11494475|Australia: Victoria	SRR11494479|Australia: Victoria	SRR11494480|Australia: Victoria	SRR11494485|Australia: Victoria	SRR11494486|Australia: Victoria	SRR11494493|Australia: Victoria	SRR11494497|Australia: Victoria	SRR11494498|Australia: Victoria	SRR11494499|Australia: Victoria	SRR11494500|Australia: Victoria	SRR11494505|Australia: Victoria	SRR11494507|Australia: Victoria	SRR11494509|Australia: Victoria	SRR11494511|Australia: Victoria	SRR11494513|Australia: Victoria	SRR11494514|Australia: Victoria	SRR11494519|Australia: Victoria	SRR11494520|Australia: Victoria	SRR11494523|Australia: Victoria	SRR11494524|Australia: Victoria	SRR11494536|Australia: Victoria	SRR11494538|Australia: Victoria	SRR11494544|Australia: Victoria	SRR11494547|Australia: Victoria	SRR11494551|Australia: Victoria	SRR11494556|Australia: Victoria	SRR11494557|Australia: Victoria	SRR11494559|Australia: Victoria	SRR11494565|Australia: Victoria	SRR11494567|Australia: Victoria	SRR11494568|Australia: Victoria	SRR11494569|Australia: Victoria	SRR11494577|Australia: Victoria	SRR11494578|Australia: Victoria	SRR11494581|Australia: Victoria	SRR11494582|Australia: Victoria	SRR11494583|Australia: Victoria	SRR11494585|Australia: Victoria	SRR11494588|Australia: Victoria	SRR11494589|Australia: Victoria	SRR11494591|Australia: Victoria	SRR11494593|Australia: Victoria	SRR11494594|Australia: Victoria	SRR11494598|Australia: Victoria	SRR11494601|Australia: Victoria	SRR11494603|Australia: Victoria	SRR11494606|Australia: Victoria	SRR11494607|Australia: Victoria	SRR11494608|Australia: Victoria	SRR11494609|Australia: Victoria	SRR11494612|Australia: Victoria	SRR11494613|Australia: Victoria	SRR11494619|Australia: Victoria	SRR11494620|Australia: Victoria	SRR11494623|Australia: Victoria	SRR11494626|Australia: Victoria	SRR11494633|Australia: Victoria	SRR11494634|Australia: Victoria	SRR11494636|Australia: Victoria	SRR11494638|Australia: Victoria	SRR11494641|Australia: Victoria	SRR11494644|Australia: Victoria	SRR11494648|Australia: Victoria	SRR11494649|Australia: Victoria	SRR11494650|Australia: Victoria	SRR11494651|Australia: Victoria	SRR11494652|Australia: Victoria	SRR11494653|Australia: Victoria	SRR11494655|Australia: Victoria	SRR11494656|Australia: Victoria	SRR11494659|Australia: Victoria	SRR11494668|Australia: Victoria	SRR11494671|Australia: Victoria	SRR11494674|Australia: Victoria	SRR11494682|Australia: Victoria	SRR11494687|Australia: Victoria	SRR11494688|Australia: Victoria	SRR11494696|Australia: Victoria	SRR11494698|Australia: Victoria	SRR11494703|Australia: Victoria	SRR11494709|Australia: Victoria	SRR11494714|Australia: Victoria	SRR11494715|Australia: Victoria	SRR11494719|Australia: Victoria	SRR11494725|Australia: Victoria	SRR11494727|Australia: Victoria	SRR11494728|Australia: Victoria	SRR11494730|Australia: Victoria	SRR11494740|Australia: Victoria	SRR11494742|Australia: Victoria	SRR11494743|Australia: Victoria	SRR11494744|Australia: Victoria	SRR11494745|Australia: Victoria	SRR11494748|Australia: Victoria	SRR11494753|Australia: Victoria	SRR11494759|Australia: Victoria	SRR11494762|Australia: Northern Territory
10	0.0001	0.0001	0.0001	0.0001	0.0001	0.00010001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000485683	0.0001	0.0001	0.0001	0.000209761	0.0001	0.0001	0.0206456	0.000171184	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0177493	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0161904	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0166225	0.0001	0.0001	0.0001	0.0001	0.0157956	0.0159674	0.0001	0.000563279	0.0001	0.0159723	0.0001	0.0001	0.0001	0.0001	0.0001	0.0159715	0.0001	0.0001	0.0001	0.000558278	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000611317	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
11	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00119041	0.0096656	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00010139	0.0001	0.0001	0.000344699	0.0001	0.000295438	0.0001	0.0001	0.0001	0.0001	0.00213978	0.00177939	0.0001	0.0001	0.0001	0.0001	0.000724726	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100015	0.0001	0.0001	0.0001	0.0001	0.0169684	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0184313	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00167513	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000844589	0.00745418	0.0001	0.0001	0.0543157	0.00969099	0.0001	0.497996	0.0287262	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.901598	0.0001	0.0001	0.0001	0.905028	0.0001	0.0001	0.901637	0.0001	0.0001	0.00917309	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0121801	0.0001	0.0001	0.00933615	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.905031	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0180725	0.0001	0.0001	0.0001	0.0119968
12	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000763732	0.0001	0.0001	0.0001	0.0001	0.0001	0.000147545	0.0001	0.0001	0.0001	0.0001	0.0001	0.00153845	0.0001	0.0001	0.0001	0.000441066	0.0001	0.0001	0.00120495	0.000263044	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.081097	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0598473	0.0001	0.0001	0.0001	0.0001	0.0805222	0.0001	0.0001	0.0001	0.000209922	0.0001	0.0001	0.0001	0.0001	0.0001	0.0795541	0.0001	0.0001	0.0001	0.0001	0.000100002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00165671	0.00017067	0.0001	0.000103144	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00164375	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0810971	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00184166	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000632102	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
13	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0502497	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00107726	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000965771	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00149505	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000744662	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0035733	0.0001	0.0001	0.0001	0.0001	0.0001	0.000892576	0.0001	0.0001	0.0001	0.00671337	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.680042	0.0001	0.0001	0.0001	0.0001	0.0001	0.00126585	0.0001	0.0001	0.0001	0.0513882	0.0001	0.302151	0.65619	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0040816	0.0001	0.0001	0.0001	0.00141737	0.0001	0.00735517	0.00405061	0.0001	0.0001	0.0016412	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0500231	0.0001	0.00293401	0.0495472	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000189979	0.0001	0.0001	0.00141848	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0179487	0.0001	0.0001	0.000119002	0.00342845	0.0001	0.000102802
14	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00023915	0.0001	0.0001	0.0001	0.000141744	0.0001	0.0001	0.00800193	0.000103954	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000276178	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000273634	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00684259	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00588781	0.000299669	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
15	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000294497	0.00247629	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0182906	0.0001	0.00244397	0.000100059	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000314505	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0129814	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000442096	0.0132527	0.0001	0.0001	0.000188624	0.0001	0.0001	0.00246173	0.00245478	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00105229	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0030322	0.0001	0.0001	0.0001	0.00248754	0.0001	0.00086446	0.00192874	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0182905	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0182907	0.0001	0.0001	0.0001	0.0001	0.0157422	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00113607	0.0001	0.000542549	0.00247362	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0182907	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0129232	0.000391209	0.0001	0.000162165	0.014002
16	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000345322	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000166356	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000245141	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000242747	0.0001	0.0001	0.0001	0.0001	0.0001	0.0156103	0.0001	0.0001	0.0001	0.0001	0.0151799	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000266949	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
17	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100094	0.00299304	0.00236933	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000725389	0.010175	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00334328	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100263	0.000105374	0.0001	0.0001	0.0001	0.0001	0.000142475	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
18	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000832144	0.00376395	0.000799047	0.000726041	0.00080115	0.000999083	0.00367564	0.00401921	0.000682658	0.0001	0.000249746	0.0001	0.0001	0.000631027	0.0001	0.0001	0.0001	0.0001	0.0185066	0.0001	0.0168938	0.0001	0.0001	0.0001	0.00870319	0.0001	0.000779188	0.000655276	0.0001	0.0001	0.0001	0.0001	0.0001	0.00011467	0.0001	0.000645095	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00359196	0.00129154	0.0001	0.00177148	0.000563837	0.000538959	0.00187447	0.000542082	0.0001	0.0001	0.000492803	0.0001	0.0001	0.0001	0.00123989	0.00163858	0.000659762	0.0001	0.0001	0.0001	0.000633396	0.0001	0.00145563	0.00118038	0.00039458	0.0001	0.0001	0.0001	0.00160016	0.00085888	0.000280579	0.0001	0.000474588	0.0001	0.000552621	0.000199144	0.0001	0.0001	0.00163268	0.0001	0.0001	0.00158845	0.0001	0.000543645	0.000527802	0.000454367	0.0001	0.0001	0.0001	0.0160225	0.0001	0.000539707	0.0001	0.00162066	0.0001	0.00068805	0.0001	0.0001	0.0001	0.000771074	0.000773789	0.0001	0.0001	0.000479495	0.0001	0.000447646	0.000631616	0.0001	0.0001	0.000541866	0.0001	0.0378296	0.0001	0.0001	0.000864675	0.00158767	0.0001	0.0001	0.0001	0.0378296	0.0001	0.0001	0.000548627	0.0378296	0.0001	0.0001	0.000577282	0.0001	0.0001	0.0378297	0.0001	0.0001	0.000539766	0.00062288	0.000546318	0.0001	0.000571496	0.000521657	0.0001	0.00115429	0.0001	0.0001	0.000508209	0.0001	0.000638087	0.0001
19	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000156915	0.0001	0.398852	0.0311916	0.0001	0.0001	0.0001	0.000260551	0.0001	0.0001	0.0001	0.0001	0.000194746	0.0001	0.00220543	0.428872	0.000101754	0.0001	0.0037551	0.476353	0.429807	0.0161904	0.476353	0.0498723	0.000142274	0.0001	0.474837	0.00141297	0.47565	0.476353	0.023823	0.0001	0.47541	0.473048	0.0001	0.47452	0.396819	0.470746	0.00010004	0.0001	0.0001	0.00204886	0.0001	0.0001	0.000103746	0.00010009	0.0001	0.0001	0.0001	0.398034	0.0001	0.0001	0.0001	0.0001	0.0001	0.398909	0.0001	0.0001	0.0001	0.00038938	0.00210315	0.000130025	0.000100033	0.0001	0.0001	0.000254396	0.0007307	0.000100001	0.0001	0.0001	0.0001	0.0001	0.00010002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.436361	0.0001	0.000117894	0.0001	0.0001	0.0001	0.000101252	0.0001	0.476353	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000530098	0.0001	0.0001	0.0001	0.000676166	0.00469329	0.0001	0.0001	0.0001	0.475165	0.0001	0.0001	0.000851151	0.0001	0.0001	0.0001	0.0001	0.476276	0.0001	0.0001	0.00162899	0.0001	0.0001	0.000108279	0.00169668	0.000101346	0.0001	0.0001	0.0001	0.000532897	0.0001	0.0001	0.0001	0.0001	0.000100009	0.0001	0.000102186	0.000112522	0.371053	0.00010001	0.0001	0.000104243	0.0001	0.0001	0.0001
20	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000107714	0.0001	0.0001	0.639591	0.233438	0.6434	0.648683	0.641724	0.585691	0.224303	0.198273	0.691967	0.0001	0.700967	0.0001	0.0001	0.6647	0.0001	0.0001	0.0001	0.00108669	0.133231	0.0001	0.13092	0.0001	0.00025811	0.0001	0.333438	0.0001	0.693457	0.695854	0.000235309	0.0001	0.0001	0.0001	0.0001	0.00083537	0.0001	0.68234	0.0001	0.000408792	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00686527	0.0117101	0.0001	0.0139455	0.694781	0.700838	0.658173	0.700978	0.0001	0.0001	0.700383	0.0001	0.0001	0.0001	0.678735	0.0165002	0.693543	0.0001	0.0001	0.0001	0.699791	0.0001	0.673871	0.68082	0.700834	0.0001	0.0001	0.2305	0.0174557	0.690607	0.691888	0.0001	0.700715	0.0001	0.69886	0.000935948	0.0001	0.0001	0.0166334	0.0001	0.0001	0.01525	0.0001	0.700977	0.700962	0.700978	0.0001	0.0001	0.0001	0.124665	0.0001	0.700969	0.0001	0.0161552	0.121134	0.696636	0.0001	0.0001	0.0001	0.488787	0.488849	0.0001	0.0001	0.0001	0.0001	0.698137	0.684184	0.000270862	0.0001	0.700977	0.0001	0.0001	0.0001	0.0001	0.0001	0.0157576	0.0001	0.0001	0.0001	0.0001	0.2614	0.000100683	0.695081	0.0001	0.0001	0.0001	0.693551	0.0001	0.0001	0.0001	0.0001	0.0001	0.700977	0.683912	0.700907	0.0001	0.695028	0.70096	0.000229724	0.0001	0.00079484	0.449131	0.695101	0.0001	0.681512	0.0001
21	0.0001	0.0001	0.0001	0.0001	0.00279069	0.00111846	0.0001	0.0001	0.0001	0.0001	0.0001	0.000564724	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00116577	0.0001	0.000100007	0.0001	0.0001	0.0001	0.0001	0.00049064	0.000107222	0.000610012	0.0001	0.000826563	0.00204855	0.00121679	0.0001	0.0001	0.0001	0.0001	0.00126568	0.0001	0.0001	0.000749408	0.000100299	0.0001	0.0195251	0.0001	0.0001	0.00549146	0.0001	0.0001	0.00126803	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00128501	0.000179834	0.000103659	0.000301046	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000546652	0.0001	0.0001	0.0001	0.00010001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000649535	0.0001	0.0001	0.0157432	0.0001	0.0001	0.0001	0.0001	0.000101032	0.0001	0.000633923	0.0001	0.000416341	0.000811399	0.0001	0.000100053	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000214626	0.0001	0.0001	0.0175465	0.0001	0.0001	0.0001	0.000343806	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00790986	0.0001	0.000100355	0.0001	0.0001	0.0001	0.0001	0.0025616	0.0001	0.0001	0.0001	0.0001	0.0001	0.00119273	0.0001	0.0001	0.0001	0.0001	0.000100166	0.0001	0.0001	0.0001	0.0180343	0.0001	0.0001	0.000101297	0.0001	0.0199697	0.0001	0.0001	0.626484	0.0001	0.632213	0.0001	0.0001	0.01859	0.0001	0.0001
22	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0273142	0.0001	0.000171671	0.0048806	0.000367793	0.000101857	0.000198253	0.00128957	0.00415523	0.00465149	0.000100012	0.0001	0.0001	0.0001	0.0001	0.000100059	0.0001	0.0001	0.0001	0.0001	0.0250365	0.0001	0.0430862	0.0001	0.0001	0.0001	0.012415	0.0001	0.000255072	0.000104041	0.0001	0.0001	0.0001	0.0001	0.0001	0.281971	0.0001	0.000100003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0114217	0.000100001	0.0001	0.278947	0.000125282	0.000114878	0.00133625	0.000100577	0.0001	0.0001	0.000806835	0.0001	0.0001	0.0001	0.000768221	0.317729	0.000565607	0.0001	0.0001	0.0001	0.000261581	0.0001	0.000885467	0.000679876	0.000586773	0.0001	0.0001	0.0001	0.317744	0.000496364	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.317726	0.0001	0.0001	0.317742	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0229749	0.0001	0.000105285	0.0001	0.317942	0.0001	0.000100145	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100008	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.317737	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100005	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100104	0.000100014	0.0001	0.0001	0.000100003	0.000277749	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100031	0.0001
